Timestamp,Value
05-Nov-25 2:19:57 PM MST,Off
06-Nov-25 5:47:15 AM MST,On
06-Nov-25 6:05:13 AM MST,Off
07-Nov-25 4:30:25 AM MST,On
07-Nov-25 5:30:09 AM MST,Off
07-Nov-25 5:32:11 AM MST,On
07-Nov-25 9:32:34 AM MST,Off
10-Nov-25 3:42:18 AM MST,On
10-Nov-25 9:17:20 AM MST,Off
12-Nov-25 4:39:49 AM MST,On
12-Nov-25 5:30:09 AM MST,Off
12-Nov-25 5:32:10 AM MST,On
12-Nov-25 6:58:55 AM MST,Off
13-Nov-25 5:14:45 AM MST,On
13-Nov-25 6:48:15 AM MST,Off
14-Nov-25 5:17:18 AM MST,On
14-Nov-25 8:24:04 AM MST,Off
18-Nov-25 4:34:58 AM MST,On
18-Nov-25 5:30:14 AM MST,Off
18-Nov-25 5:32:15 AM MST,On
18-Nov-25 9:11:03 AM MST,Off
19-Nov-25 4:27:41 AM MST,On
19-Nov-25 5:30:48 AM MST,Off
19-Nov-25 5:32:15 AM MST,On
19-Nov-25 10:10:17 AM MST,Off
20-Nov-25 4:43:23 AM MST,On
20-Nov-25 5:30:31 AM MST,Off
20-Nov-25 5:32:25 AM MST,On
20-Nov-25 8:55:27 AM MST,Off
21-Nov-25 4:16:55 AM MST,On
21-Nov-25 5:30:09 AM MST,Off
21-Nov-25 5:32:17 AM MST,On
21-Nov-25 10:10:38 AM MST,Off
22-Nov-25 9:53:30 PM MST,Off

